file	line	column	rule	message
docker/frontend/src/lib/error-handling.ts	142	58	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	193	38	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	272	35	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	281	15	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	282	41	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	285	35	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	286	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/error-handling.ts	287	36	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	287	83	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	290	34	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	290	81	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	333	32	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/error-handling.ts	371	62	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/rbac/permissions.ts	289	63	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/sanitize.ts	157	42	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/sanitize.ts	189	37	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/sanitize.ts	189	145	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/sanitize.ts	197	20	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/sanitize.ts	203	16	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/services/errorLogger.ts	33	18	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/services/errorLogger.ts	208	14	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/lib/services/serverErrorLogger.ts	33	18	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/lib/services/serverErrorLogger.ts	82	12	@typescript-eslint/no-unused-vars	'_error' is defined but never used.
docker/frontend/src/stores/rbacStore.ts	99	39	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/stores/rbacStore.ts	101	46	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
docker/frontend/src/stores/rbacStore.ts	125	39	@typescript-eslint/no-explicit-any	Unexpected any. Specify a different type.
